architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
"[512, 128]",0.1,0.001,2.0553,5.5188,2.1504
"[512, 128]",0.1,0.0001,1.8085,5.2354,2.163
"[512, 128]",0.2,0.001,2.1783,5.5848,2.1826
"[512, 128]",0.2,0.0001,1.9202,5.5583,2.1641
"[1024, 512, 128]",0.1,0.001,2.0975,5.4243,2.1108
"[1024, 512, 128]",0.1,0.0001,1.8553,5.3598,2.1802
"[1024, 512, 128]",0.2,0.001,2.338,5.1323,2.1245
"[1024, 512, 128]",0.2,0.0001,1.9538,5.3627,2.152
"[256, 64]",0.1,0.001,1.9691,5.4914,2.17
"[256, 64]",0.1,0.0001,1.9124,5.1512,2.1569
"[256, 64]",0.2,0.001,2.1751,5.3621,2.1247
"[256, 64]",0.2,0.0001,2.0461,5.2294,2.1454
