architecture,hidden_channels,learning_rate,num_layers,train_loss,val_loss,test_rmse
GCN,16,0.0001,2,8.1644,8.4971,2.9517
GCN,16,0.0001,3,8.1158,8.4259,2.9478
GCN,16,0.0001,4,8.1056,8.4184,2.9511
SAGE,16,0.0001,2,8.3073,8.6454,2.9738
SAGE,16,0.0001,3,8.2877,8.6605,2.9744
SAGE,16,0.0001,4,8.1878,8.5226,2.9596
GAT,16,0.0001,2,8.2238,8.5519,2.9625
GAT,16,0.0001,3,8.1632,8.4728,2.9549
GAT,16,0.0001,4,8.1464,8.4828,2.9601
GCN,16,0.001,2,7.9509,8.3242,2.9064
GCN,16,0.001,3,7.966,8.3683,2.9197
GCN,16,0.001,4,8.015,8.3662,2.9287
SAGE,16,0.001,2,7.2002,7.6425,2.7754
SAGE,16,0.001,3,6.7966,7.2907,2.71
SAGE,16,0.001,4,6.744,7.4361,2.726
GAT,16,0.001,2,7.9271,8.2535,2.8963
GAT,16,0.001,3,7.8632,8.2029,2.8916
GAT,16,0.001,4,7.8099,8.127,2.883
GCN,16,0.01,2,7.8961,8.1698,2.8846
GCN,16,0.01,3,7.7239,8.0844,2.901
GCN,16,0.01,4,7.6446,8.1061,2.8731
SAGE,16,0.01,2,6.6582,7.2347,2.7081
SAGE,16,0.01,3,6.3624,7.0139,2.6485
SAGE,16,0.01,4,6.1516,6.7819,2.6183
GAT,16,0.01,2,7.8831,8.1066,2.8853
GAT,16,0.01,3,7.8067,8.1355,2.877
GAT,16,0.01,4,8.0377,8.6594,2.9721
GCN,16,0.1,2,8.0633,8.3979,2.9291
GCN,16,0.1,3,8.3797,8.6762,3.0026
GCN,16,0.1,4,8.3878,8.6695,2.9944
SAGE,16,0.1,2,7.1518,7.5776,2.7701
SAGE,16,0.1,3,8.386,8.755,2.9994
SAGE,16,0.1,4,8.3836,8.6684,2.9995
GAT,16,0.1,2,8.145,8.4587,2.9467
GAT,16,0.1,3,8.3727,8.7255,2.9967
GAT,16,0.1,4,8.3703,8.6678,2.9947
GCN,32,0.0001,2,8.1712,8.4947,2.9503
GCN,32,0.0001,3,8.0708,8.405,2.94
GCN,32,0.0001,4,8.0399,8.386,2.9424
SAGE,32,0.0001,2,8.2131,8.5541,2.9547
SAGE,32,0.0001,3,8.0753,8.382,2.9378
SAGE,32,0.0001,4,7.2965,7.6692,2.8034
GAT,32,0.0001,2,8.1742,8.5219,2.9507
GAT,32,0.0001,3,8.0461,8.378,2.9408
GAT,32,0.0001,4,8.0374,8.358,2.9344
GCN,32,0.001,2,7.883,8.1857,2.888
GCN,32,0.001,3,7.7515,8.0976,2.8787
GCN,32,0.001,4,7.7619,8.0711,2.9078
SAGE,32,0.001,2,6.8911,7.3334,2.7026
SAGE,32,0.001,3,6.622,7.2432,2.6689
SAGE,32,0.001,4,6.5187,7.0329,2.6374
GAT,32,0.001,2,7.8932,8.2793,2.8956
GAT,32,0.001,3,7.7401,8.1863,2.8934
GAT,32,0.001,4,7.7476,8.138,2.8731
GCN,32,0.01,2,7.7954,8.1049,2.8723
GCN,32,0.01,3,7.6015,7.9333,2.8608
GCN,32,0.01,4,7.5963,8.1217,2.8843
SAGE,32,0.01,2,6.7034,7.261,2.699
SAGE,32,0.01,3,6.1401,6.8277,2.5685
SAGE,32,0.01,4,6.2174,7.2104,2.664
GAT,32,0.01,2,7.9581,8.3418,2.9139
GAT,32,0.01,3,8.0715,8.2981,2.9172
GAT,32,0.01,4,7.8903,8.3286,2.9168
GCN,32,0.1,2,7.9736,8.2322,2.8972
GCN,32,0.1,3,8.375,8.7909,3.0032
GCN,32,0.1,4,8.3795,8.6933,2.9944
SAGE,32,0.1,2,7.2667,7.576,2.8106
SAGE,32,0.1,3,8.3851,8.673,2.9942
SAGE,32,0.1,4,8.3908,8.6763,3.0027
GAT,32,0.1,2,8.1195,8.3727,2.936
GAT,32,0.1,3,8.372,8.6714,2.9943
GAT,32,0.1,4,8.3674,8.7055,3.0113
GCN,64,0.0001,2,8.0594,8.4063,2.9296
GCN,64,0.0001,3,8.004,8.3932,2.9308
