model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
lstm,64,1,"[512, 128]",0.1,0.001,0.4788,5.1034,1.6949
lstm,64,1,"[512, 128]",0.1,0.0001,0.6227,4.9534,1.7247
lstm,64,1,"[512, 128]",0.2,0.001,0.5097,5.0772,1.6229
lstm,64,1,"[512, 128]",0.2,0.0001,0.6804,4.1668,1.6533
lstm,64,1,"[1024, 512, 128]",0.1,0.001,0.5694,5.5436,1.6225
lstm,64,1,"[1024, 512, 128]",0.1,0.0001,0.553,5.5136,1.6804
lstm,64,1,"[1024, 512, 128]",0.2,0.001,0.6185,5.015,1.7868
lstm,64,1,"[1024, 512, 128]",0.2,0.0001,0.679,4.7088,1.751
lstm,64,1,"[256, 64]",0.1,0.001,0.5136,5.7295,1.6722
lstm,64,1,"[256, 64]",0.1,0.0001,0.7119,5.0397,1.5659
lstm,64,1,"[256, 64]",0.2,0.001,0.5636,5.0461,1.6911
lstm,64,1,"[256, 64]",0.2,0.0001,0.8426,4.6505,1.6143
lstm,64,2,"[512, 128]",0.1,0.001,0.4405,5.33,1.745
lstm,64,2,"[512, 128]",0.1,0.0001,0.6027,4.8802,1.7657
lstm,64,2,"[512, 128]",0.2,0.001,0.5284,5.1111,1.6523
lstm,64,2,"[512, 128]",0.2,0.0001,0.7186,4.9052,1.8371
lstm,64,2,"[1024, 512, 128]",0.1,0.001,0.5801,5.0985,1.7097
lstm,64,2,"[1024, 512, 128]",0.1,0.0001,0.5802,4.9842,1.6938
lstm,64,2,"[1024, 512, 128]",0.2,0.001,0.537,5.2855,1.6421
lstm,64,2,"[1024, 512, 128]",0.2,0.0001,0.6186,4.7804,1.7533
lstm,64,2,"[256, 64]",0.1,0.001,0.4862,5.2959,1.818
lstm,64,2,"[256, 64]",0.1,0.0001,0.7122,4.614,1.6719
lstm,64,2,"[256, 64]",0.2,0.001,0.6594,5.2997,1.7067
lstm,64,2,"[256, 64]",0.2,0.0001,0.9965,3.8906,1.6759
lstm,128,1,"[512, 128]",0.1,0.001,0.4817,5.3033,1.6063
lstm,128,1,"[512, 128]",0.1,0.0001,0.5661,4.8993,1.7071
lstm,128,1,"[512, 128]",0.2,0.001,0.577,5.0834,1.6994
lstm,128,1,"[512, 128]",0.2,0.0001,0.7193,5.0596,1.7166
lstm,128,1,"[1024, 512, 128]",0.1,0.001,0.513,5.3192,1.6333
lstm,128,1,"[1024, 512, 128]",0.1,0.0001,0.4849,4.8367,1.7044
lstm,128,1,"[1024, 512, 128]",0.2,0.001,0.749,5.1208,1.6824
lstm,128,1,"[1024, 512, 128]",0.2,0.0001,0.637,4.8621,1.7011
lstm,128,1,"[256, 64]",0.1,0.001,0.6259,4.8329,1.5835
lstm,128,1,"[256, 64]",0.1,0.0001,0.6776,4.6195,1.6687
lstm,128,1,"[256, 64]",0.2,0.001,0.5958,4.7788,1.6185
lstm,128,1,"[256, 64]",0.2,0.0001,0.7605,4.8613,1.6532
lstm,128,2,"[512, 128]",0.1,0.001,0.6293,5.109,1.6007
lstm,128,2,"[512, 128]",0.1,0.0001,0.5276,4.666,1.7005
lstm,128,2,"[512, 128]",0.2,0.001,0.5973,5.0997,1.5936
lstm,128,2,"[512, 128]",0.2,0.0001,0.5269,5.0082,1.7389
lstm,128,2,"[1024, 512, 128]",0.1,0.001,0.6117,5.5446,1.6069
lstm,128,2,"[1024, 512, 128]",0.1,0.0001,0.5338,5.1285,1.6726
lstm,128,2,"[1024, 512, 128]",0.2,0.001,0.5914,5.2576,1.5464
lstm,128,2,"[1024, 512, 128]",0.2,0.0001,0.6037,4.9108,1.7248
lstm,128,2,"[256, 64]",0.1,0.001,0.5353,5.3164,1.7556
lstm,128,2,"[256, 64]",0.1,0.0001,0.6099,4.6615,1.6516
